feature,importance
id,0.2516722853939318
hemo,0.2149173607696998
pcv,0.13694103309713954
sc,0.09410211815764391
sg,0.09006717959872158
rc,0.08107937690077902
al,0.027045162530815188
htn,0.025773767011762084
bgr,0.02442856724592765
dm,0.022547192005723
bu,0.013160035971892041
pc,0.0028104463802403386
sod,0.002667075885933843
bp,0.0025075813581378753
ane,0.002142055016919171
age,0.0019280680701635744
wc,0.0016227129524384258
pot,0.001618678333993977
rbc,0.001364433275866073
pe,0.0008361966110935356
appet,0.0004746294370952488
pcc,0.00029404399408227837
su,0.0
ba,0.0
cad,0.0
